date,Interval,volume
11-12-2025,10:00,48.5420067
11-12-2025,10:30,53.81831177
11-12-2025,11:00,51.70778974
11-12-2025,11:30,62.2603999
11-12-2025,12:00,51.70778974
11-12-2025,12:30,53.4665581
11-12-2025,13:00,48.5420067
11-12-2025,13:30,47.83849935
11-12-2025,14:00,53.81831177
11-12-2025,14:30,49.59726771
11-12-2025,15:00,52.05954342
11-12-2025,15:30,53.4665581
11-12-2025,16:00,45.02446998
11-12-2025,16:30,49.94902139
11-12-2025,17:00,42.56219428
11-12-2025,17:30,36.58238186
11-12-2025,18:00,35.17536717
11-12-2025,18:30,28.49204741
11-12-2025,19:00,26.02977171
11-12-2025,19:30,21.45697398
11-12-2025,20:00,18.6429446
11-12-2025,20:30,15.67816365
11-12-2025,21:00,10.20085648
11-12-2025,21:30,13.66814267
11-12-2025,22:00,8.09033445
11-12-2025,22:30,9.145595465
11-12-2025,23:00,8.040083925
11-12-2025,23:30,5.628058748
12-12-2025,00:00,7.638079729
12-12-2025,00:30,7.236075533
12-12-2025,01:00,7.035073435
12-12-2025,01:30,8.442088121
12-12-2025,02:00,4.690048956
12-12-2025,02:30,2.814029374
12-12-2025,03:00,5.628058748
12-12-2025,03:30,3.517536717
12-12-2025,04:00,5.628058748
12-12-2025,04:30,7.50407833
12-12-2025,05:00,3.517536717
12-12-2025,05:30,3.752039165
12-12-2025,06:00,3.517536717
12-12-2025,06:30,8.442088121
12-12-2025,07:00,9.145595465
12-12-2025,07:30,11.95962484
12-12-2025,08:00,18.29119093
12-12-2025,08:30,30.60256944
12-12-2025,09:00,49.59726771
12-12-2025,09:30,55.9288338
12-12-2025,10:00,45.37622365
12-12-2025,10:30,54.52181912
12-12-2025,11:00,56.63234115
12-12-2025,11:30,53.11480443
12-12-2025,12:00,59.79812419
12-12-2025,12:30,55.57708013
12-12-2025,13:00,50.30077506
12-12-2025,13:30,47.13499201
12-12-2025,14:00,52.41129709
12-12-2025,14:30,48.89376037
12-12-2025,15:00,54.52181912
12-12-2025,15:30,46.78323834
12-12-2025,16:00,46.43148467
12-12-2025,16:30,35.17536717
12-12-2025,17:00,36.58238186
12-12-2025,17:30,33.76835249
12-12-2025,18:00,28.14029374
12-12-2025,18:30,27.78854007
12-12-2025,19:00,18.6429446
12-12-2025,19:30,17.23592991
12-12-2025,20:00,13.36663953
12-12-2025,20:30,13.01488585
12-12-2025,21:00,9.849102808
12-12-2025,21:30,11.65812169
12-12-2025,22:00,8.09033445
12-12-2025,22:30,10.69331162
12-12-2025,23:00,4.924551404
12-12-2025,23:30,6.190864622
13-12-2025,00:00,5.159053852
13-12-2025,00:30,2.814029374
13-12-2025,01:00,5.628058748
13-12-2025,01:30,4.221044061
13-12-2025,02:00,7.316476372
13-12-2025,02:30,8.442088121
13-12-2025,03:00,2.814029374
13-12-2025,03:30,5.065252873
13-12-2025,04:00,3.752039165
13-12-2025,04:30,3.752039165
13-12-2025,05:00,4.690048956
13-12-2025,05:30,2.814029374
13-12-2025,06:00,3.283034269
13-12-2025,06:30,4.690048956
13-12-2025,07:00,6.331566091
13-12-2025,07:30,7.035073435
13-12-2025,08:00,8.442088121
13-12-2025,08:30,16.53242257
13-12-2025,09:00,27.08503272
13-12-2025,09:30,27.08503272
13-12-2025,10:00,33.76835249
13-12-2025,10:30,31.30607678
13-12-2025,11:00,30.95432311
13-12-2025,11:30,28.14029374
13-12-2025,12:00,27.08503272
13-12-2025,12:30,27.08503272
13-12-2025,13:00,26.38152538
13-12-2025,13:30,24.27100335
13-12-2025,14:00,23.56749601
13-12-2025,14:30,24.27100335
13-12-2025,15:00,15.47716156
13-12-2025,15:30,15.47716156
13-12-2025,16:00,18.29119093
13-12-2025,16:30,17.58768359
13-12-2025,17:00,17.28618044
13-12-2025,17:30,14.07014687
13-12-2025,18:00,14.42190054
13-12-2025,18:30,12.66313218
13-12-2025,19:00,13.01488585
13-12-2025,19:30,8.09033445
13-12-2025,20:00,8.09033445
13-12-2025,20:30,6.834071336
13-12-2025,21:00,8.442088121
13-12-2025,21:30,9.849102808
13-12-2025,22:00,6.331566091
13-12-2025,22:30,4.690048956
13-12-2025,23:00,4.924551404
13-12-2025,23:30,6.566068539
14-12-2025,00:00,5.628058748
14-12-2025,00:30,4.502446998
14-12-2025,01:00,4.221044061
14-12-2025,01:30,2.814029374
14-12-2025,02:00,4.221044061
14-12-2025,02:30,2.814029374
14-12-2025,03:00,2.814029374
14-12-2025,03:30,6.331566091
